date_added,company,vertical,type,region,city,country,signal,score,status,solutions,est_value,source_url,notes
2026-07-08,AIsa,AI,ISV,全球/亞洲資本(Alibaba、住友、Saison 投資),,全球,"7/7 宣布 $6.5M 種子輪(Alibaba+Tribe Capital 領投);AI Agent 交易網路,API 量 5 個月成長 200x,正 onboard 算力供給方",A,new,模型折扣;GPU;雲主機;CDN,3k–15k/月(模型折扣起步),https://www.globenewswire.com/news-release/2026/07/07/3323663/0/en/aisa-raises-6-5m-co-led-by-alibaba-and-tribe-capital-to-build-the-transaction-network-for-ai-agents.html,可把 GPU 算力上架其網路作供給方;兼具客戶與通路屬性
2026-07-08,Amity Robotics,AI,客戶,泰國(部署新加坡/香港/馬來西亞等 30+ 場域),香港,香港,"7/1 完成 $7M 種子輪(East Ventures 領投、500 Global 跟投),AI 禮賓機器人擴大部署",A,new,模型折扣;GPU;雲主機;CDN,3k–15k/月(模型折扣起步),https://theaiinsider.tech/2026/07/01/thailands-amity-robotics-closes-usd-7m-seed-round-to-expand-its-physical-ai-concierge-business/,部署城市與我方節點重疊;賣點=區域內低延遲 LLM 推理
2026-07-08,Zee5,賽事,客戶,印度,,印度,"世界盃印度獨家串流,6/12 開賽夜大規模卡頓/當機;八強 7/9-11 為下一波高峰(訊號超 7 天、賽事進行中,已註明)",B,new,直播加速;CDN;DDoS高防,10k–50k/月,https://www.businesstoday.in/sports/football/story/fifa-world-cup-2026-on-zee5-indian-fans-report-buffering-major-outages-while-streaming-on-debut-night-536438-2026-06-12,"地區非核心;災難救援型切入,窗口至 7/19 決賽"
2026-07-08,Mirendil,AI,客戶,美國,,美國,"7 月首週宣布 $200M 種子輪(a16z+KP 領投、NVIDIA 參投),自動化 AI 研發,GPU 需求極大",B,new,模型折扣;GPU;雲主機;CDN,3k–15k/月(模型折扣起步),https://techfundingnews.com/ex-anthropic-researchers-raise-200m-just-weeks-after-quitting-to-build-ai-that-creates-better-ai/,"地區不符且 NVIDIA 入股自帶算力管道,故降 B"
2026-07-08,Altenar,iGaming,ISV,全球(總部歐洲),,歐洲,"7/2 獲 Alberta 供應商批准,該省 7/13 開放監管市場,平台擴張期",B,new,DDoS高防;CDN;雲主機;SMS-OTP,10k–50k/月(綁定下游),https://www.yogonet.com/international/news/2026/07/02/125177-altenar-receives-alberta-supplier-approval-ahead-of-regulated-online-gaming-market-launch,"sportsbook 平台商,綁定可帶整批營運商"
2026-07-08,Games Valley,iGaming,ISV,待查,,待查,"7/8 宣布接入 BGaming 內容,聚合平台持續擴張",B,new,DDoS高防;CDN;雲主機;SMS-OTP,10k–50k/月(綁定下游),https://igamingbusiness.com/company-news/games-valley-adds-bgaming-content-in-latest-aggregation-partnership/,聚合商=ISV 型標的;總部/主要市場待查
2026-07-08,Kling AI(快手),AI,客戶,香港/中國,香港,香港,"8/16 復活升級:商業化收入破 ¥6.5 億(YoY +300%,Q1 財報);Kling 3.0 上線;快手擬分拆可靈獨立 IPO(估值傳 ~$200 億,最快 2027)",B,new,模型折扣;GPU;雲主機;CDN,3k–15k/月(模型折扣起步),https://inews.hket.com/article/4127205/kuaishou-kling-ai-spinoff-valuation-20-billion-sora-rival-,阿里雲戰投=生態引薦路徑;海外部署有合作角度(自建基建維持 C);8/16 C→B:分拆前基建架構重談窗口;阿里系引薦名單成員
2026-07-08,Toffee(Banglalink),賽事,客戶,孟加拉,,孟加拉,6 月世界盃期間訂閱啟用延遲與轉播中斷投訴,C,new,直播加速;CDN;DDoS高防,10k–50k/月,https://www.thedailystar.net/news/tech-startup/news/fans-frustrated-streaming-problems-during-world-cup-openers-4197146,地區非核心
2026-07-08,Groove,iGaming,ISV,東歐/中亞,,東歐,"7/15-16 參加 SBC Summit Tbilisi,主攻東歐/中亞擴張",C,new,DDoS高防;CDN;雲主機;SMS-OTP,10k–50k/月(綁定下游),https://g3newswire.com/groove-heads-to-sbc-summit-tbilisi-2026-targeting-eastern-european-and-central-asian-growth/,地區非核心但屬 ISV 型標的
2026-07-08,LinqAlpha,AI,客戶,待查,,待查,"7 月首週披露 $22M A 輪,買方投研 AI Agent",C,new,模型折扣;GPU;雲主機;CDN,3k–15k/月(模型折扣起步),https://gravity.fast/blog/ai-agent-funding-tracker-q3-2026/,算力需求中等;地區待查
2026-07-08,GamingSoft,iGaming,ISV,馬來西亞/東南亞,吉隆坡?(待查),馬來西亞,"結構型:東南亞白牌 iGaming 平台商(MGA 牌照、200+ 遊戲供應商、3000 萬註冊玩家),SiGMA Asia 2026 參展",B,new,DDoS高防;CDN;雲主機;SMS-OTP,10k–50k/月(綁定下游),https://www.thegamblest.com/best-white-label-casino-solution-providers/,綁定=帶入整批東南亞下游營運商;展會可約
2026-07-08,Slotegrator,iGaming,ISV,歐洲/亞洲,,歐洲,"結構型:白牌賭場+遊戲聚合平台,主打歐亞市場",B,new,DDoS高防;CDN;雲主機;SMS-OTP,10k–50k/月(綁定下游),https://www.thegamblest.com/best-white-label-casino-solution-providers/,聚合商標的
2026-07-08,Digitain,iGaming,ISV,亞洲/拉美,,拉美,"結構型:sportsbook 白牌平台,主攻亞洲與拉美",B,new,DDoS高防;CDN;雲主機;SMS-OTP,10k–50k/月(綁定下游),https://www.thegamblest.com/best-white-label-casino-solution-providers/,sportsbook 平台標的
2026-07-08,AsiaPay,iGaming,合作夥伴,香港(12 個 APAC 市場),香港,香港,"結構型:25 年香港支付網關(PayDollar/PesoPay/SiamPay),覆蓋 12 個 APAC 市場",B,new,DDoS高防;CDN;雲主機;SMS-OTP,轉介型(間接),https://igamingpaymentsolutions.com/providers/asiapay,支付商轉介型夥伴;香港=核心地區
2026-07-08,DragonPay,iGaming,合作夥伴,菲律賓,馬尼拉?(待查),菲律賓,"結構型:菲律賓本地支付聚合商(電子錢包/銀行轉帳),iGaming 業者主要接口",B,new,DDoS高防;CDN;雲主機;SMS-OTP,轉介型(間接),https://igamingpaymentsolutions.com/regions-asia,菲律賓市場轉介入口
2026-07-08,Adent.io(xCams),成人,ISV,全球,,全球,"結構型:白牌成人 cam 平台軟體商,客戶為新建站的業主",B,new,CDN;雲主機;直播加速;SMS,5k–30k/月,https://adent.io/products/xcams,綁定=其客戶建站即帶主機/CDN/串流需求
2026-07-08,Scrile,成人,ISV,全球,,全球,"結構型:成人創作者平台開發商(Scrile Connect/Stream),持續發布行業方案",B,new,CDN;雲主機;直播加速;SMS,5k–30k/月,https://www.scrile.com/blog/adult-webcam-software,"同上,白牌開發商綁定型"
2026-07-08,SOFTSWISS,iGaming,ISV,歐洲/亞洲,,歐洲,"結構型:大型白牌+加密賭場軟體商,市場含亞洲",C,new,DDoS高防;CDN;雲主機;SMS-OTP,50k+/月(大型),https://www.thegamblest.com/best-white-label-casino-solution-providers/,體量大、供應鏈成熟;8/8 補強:8/3 Big Daddy Gaming 簽聚合分發約
2026-07-08,BetConstruct,iGaming,ISV,全球,,全球,結構型:大型平台商(SpringPlatform 生態),C,new,DDoS高防;CDN;雲主機;SMS-OTP,50k+/月(大型),https://www.thegamblest.com/best-white-label-casino-solution-providers/,體量大
2026-07-08,Fanvue,成人,客戶,英國/全球,,英國,"結構型:成長中的創作者訂閱平台,對 AI 創作者友善",C,new,CDN;雲主機;直播加速;SMS,5k–30k/月,https://blog.rm11.com/best-platforms-content-creators-2026/,"與我方成人 AI 產品線契合,待找具體訊號升級;7/26 復活掃描:確認 2026/1 $22M Series A、$100M run rate,規模坐實"
2026-07-08,beIN SPORTS APAC,賽事,客戶,新加坡(11 個亞太市場),新加坡,新加坡,"結構型:亞太體育內容商,beIN SPORTS CONNECT 串流覆蓋 11 國",C,new,直播加速;CDN;DDoS高防,10k–50k/月,https://www.dacast.com/blog/ott-sports-streaming/,新加坡=核心地區;大型標的先觀察
2026-07-08,VPlayed,賽事,ISV,印度/全球,,印度,結構型:OTT 串流平台方案商(4K 轉碼/ABR),C,new,直播加速;CDN;DDoS高防,10k–50k/月,https://www.dacast.com/blog/ott-sports-streaming/,方案商綁定型
2026-07-09,CHZZK(Naver),賽事,客戶,韓國,,韓國,"7/3 宣布獨家直播 EWC 2026 全部 25 項賽事(7/6-8/23);已獨播世界盃 104 場、簽 LCK 2026-2030,週使用時數超越 SOOP",B,new,直播加速;CDN;DDoS高防,10k–50k/月,https://en.sedaily.com/technology/2026/07/03/navers-chzzk-to-livestream-all-events-of-esports-world-cup,"地區非核心+Naver 自有雲,故 B;切入=邊緣分發/擴容"
2026-07-09,TwelveLabs,AI,客戶,美國/韓國,,韓國,"7/1 完成 $100M Series B(NEA+NAVER Ventures 領投、Amazon 參投),影片理解 AI,GPU 推理重",B,new,模型折扣;GPU;雲主機;CDN,3k–15k/月(模型折扣起步),https://www.bloomberg.com/news/articles/2026-07-01/video-search-startup-raises-100-million-from-amazon-vc-funds,地區非核心故 B;剛融資=infra 選型期
2026-07-09,Spotv,賽事,客戶,香港/新加坡/馬來西亞/菲律賓,香港,香港,結構型:韓系體育串流平台於港星馬菲營運(MotoGP/BWF/KBO 等版權),B,new,直播加速;CDN;DDoS高防,10k–50k/月,https://www.imdb.com/news/ni63562210,核心地區串流平台;低延遲+成本對比切入
2026-07-09,Premier League(新加坡自營串流),賽事,客戶,新加坡,新加坡,新加坡,"結構型:英超於新加坡推自營 D2C 串流服務,SCMP 指香港可能跟進",B,new,直播加速;CDN;DDoS高防,10k–50k/月,https://www.scmp.com/sport/football/article/3344797/premier-league-branch-out-new-singapore-streaming-service-could-hong-kong-follow,自營分發=區域 CDN 採購需求
2026-07-09,96ace,iGaming,合作夥伴,亞洲(馬來西亞/新加坡),新加坡,新加坡,"結構型:亞洲老牌 casino 聯盟行銷計畫(rev-share 至 40%),掌握大量亞洲流量主",B,new,DDoS高防;CDN;雲主機;SMS-OTP,轉介型(間接),https://www.pushground.com/blog/igaming-asia,廣告聯盟=轉介型夥伴
2026-07-09,Visualize Group,iGaming,合作夥伴,全球,,全球,"7/2 宣布收購檢測認證機構 eCOGRA,認證機構接觸所有申牌/上線平台",B,new,DDoS高防;CDN;雲主機;SMS-OTP,轉介型(間接),https://www.yogonet.com/international/news/2026/07/02/125175-visualize-group-to-acquire-gaming-compliance-and-certification-provider-ecogra,轉介潛力型夥伴
2026-07-09,Momentum Group(×Fanatics),iGaming,客戶,UAE,,UAE,6/30 與 Fanatics 合資新實體並轉移彩票/體育博彩/iGaming 牌照 → 新平台建設期,B,new,DDoS高防;CDN;雲主機;SMS-OTP,5k–30k/月,https://asgam.com/2026/06/30/uaes-momentum-group-to-transfer-lottery-sports-betting-and-igaming-licenses-to-new-entity-under-partnership-with-fanatics-gaming/,地區非核心;14 天 B 窗內大案值
2026-07-09,Talp,AI,客戶,待查,,待查,"7/2 完成 $20M pre-seed(Formus Capital 領投、a16z Scout 參投),AI 人格模擬測試",C,new,模型折扣;GPU;雲主機;CDN,3k–15k/月(模型折扣起步),https://www.crescendo.ai/news/latest-vc-investment-deals-in-ai-startups,推理需求中等;地區待查
2026-07-09,Together AI,AI,客戶,美國,,美國,"7/1 完成 $800M C 輪(Aramco Ventures 領投),開源模型推理雲",C,new,模型折扣;GPU;雲主機;CDN,3k–15k/月(模型折扣起步),https://www.crescendo.ai/news/latest-vc-investment-deals-in-ai-startups,同業 GPU 雲;觀察亞太供給缺口/轉售合作
2026-07-09,CBS Global(Crypto Bet Sports),iGaming,客戶,待查,,待查,新加密賭場+sportsbook 上線(SoftGamings 白牌、庫拉索牌照),C,new,DDoS高防;CDN;雲主機;SMS-OTP,5k–30k/月,https://igamingfuture.com/cbs-global-introduces-crypto-casino-and-sportsbook-crypto-bet-sports/,發布日期未標註
2026-07-09,Odds96,iGaming,合作夥伴,南亞,,南亞,結構型:南亞流量聯盟計畫,C,new,DDoS高防;CDN;雲主機;SMS-OTP,轉介型(間接),https://richads.com/blog/best-igaming-affiliate-programs/,地區非核心
2026-07-09,GR8 Tech,iGaming,ISV,全球,,全球,"結構型:sportsbook 平台商,活躍於巴西等新興市場",C,new,DDoS高防;CDN;雲主機;SMS-OTP,10k–50k/月(綁定下游),https://gr8.tech/blog/brazil-betting/,ISV 綁定型觀察
